ProductCategoryID,ProductCategoryCode,ParentProductCategoryCode,ProductCategoryName
21497,17304025,17304000,Soundkarten PCI-Express
21252,17304030,17304000,Soundkarten extern
21077,17304050,17304000,Videobearbeitungskarten
21137,17305000,17300000,TV- / Radio- / Karten / Sticks
21078,17305010,17305000,TV-Karten
21079,17305020,17305000,Radio-Karten
21498,17305024,17305000,TV-Sticks
21500,17305026,17305000,Radio-Sticks
21138,17307000,17300000,Mainboard-Komponenten
21083,17307010,17307000,Mainboards
21084,17307020,17307000,Prozessoren
21086,17307050,17307000,DIMMs
21087,17307060,17307000,SO-DIMMs
21451,17307070,17307000,Netzteile
21821,17307500,17300000,Kühl-Komponenten
21822,17307510,17307500,CPU-Kühler
21823,17307520,17307500,Wasserkühlungen
21824,17307530,17307500,Gehäuse-Lüfter
21825,17307540,17307500,sonstige Kühl-Komponenten
21139,17308000,17300000,Gehäuse
21088,17308010,17308000,Desktop-Gehäuse
21089,17308020,17308000,Mini-/Midi-Tower
21090,17308030,17308000,High-Tower
21091,17308040,17308000,Server-Gehäuse
21131,17400000,17000000,Massenspeicher / Laufwerke
21140,17401000,17400000,Festplatten-Laufwerke
21301,17401005,17401000,Festplatten S-ATA
21092,17401010,17401000,Festplatten IDE
21093,17401020,17401000,Festplatten SCSI / SAS
21453,17401023,17401000,Festplatten NAS
21454,17401026,17401000,Solid State Disk (SSD)
21302,17401030,17401000,Festplatten Extern
21826,17401035,17401000,Solid State Disk (SSD) Extern
21141,17402000,17400000,Wechsel-Laufwerke / USB-Sticks
21303,17402005,17402000,USB-Sticks
21850,17402006,17402000,Festplattengehäuse
21373,17402007,17402000,Card-Reader- / Adapter
21094,17402010,17402000,MO-Laufwerke
21095,17402020,17402000,ZIP-Laufwerke
21096,17402030,17402000,JAZ-Laufwerke
21097,17402040,17402000,Syquest-Laufwerke
21142,17403000,17400000,CD / DVD / Blu-ray Laufwerke
21098,17403010,17403000,CD-ROM intern
21191,17403025,17403000,CD-ROM extern
21100,17403030,17403000,CD-Wechsler IDE
21101,17403040,17403000,CD-Wechsler SCSI
21192,17403045,17403000,CD-Wechsler extern
21102,17403050,17403000,DVD intern
21193,17403065,17403000,DVD extern
21194,17403070,17403000,DVD-Wechsler IDE
21195,17403080,17403000,DVD-Wechsler SCSI
21196,17403085,17403000,DVD-Wechsler extern
21455,17403086,17403000,Blu-ray intern
21456,17403087,17403000,Blu-ray extern
21143,17404000,17400000,CD / DVD / Blu-ray Recorder
21104,17404010,17404000,CD-Recorder intern
21106,17404030,17404000,CD-Recorder extern
21107,17404040,17404000,DVD-Recorder intern
21109,17404060,17404000,DVD-Recorder extern
21329,17404065,17404000,Blu-ray Recorder intern
21328,17404070,17404000,Blu-ray Recorder extern
21144,17406000,17400000,Streamer
21110,17406010,17406000,Streamer IDE
